date,walletBalanceXBT,adjustedWealthXBT,daily_realised_pnl_xbt,daily_funding_xbt,daily_deposit_xbt,daily_withdrawal_xbt,n_fills,top_3_symbols_traded
2021-12-21,50.470203,66.471403,0.081237,0.0,0.0,0.0,41,"XBTUSD,ETHUSD,LUNAUSD"
2021-12-22,50.723374,66.724574,0.253172,0.0,0.0,0.0,22,"LUNAUSD,XBTUSD"
2021-12-23,50.730699,66.731899,0.007324,0.0,0.0,0.0,42,"XBTUSD,LUNAUSD"
2021-12-24,50.720727,66.721927,-0.009972,0.0,0.0,0.0,43,"ETHUSD,ETHZ21,LUNAUSD"
2021-12-25,50.719408,66.720608,-0.001319,0.0,0.0,0.0,9,XBTUSD
2021-12-26,50.757658,66.758858,0.03825,0.0,0.0,0.0,64,"LUNAUSD,XBTUSD,ETHZ21"
2021-12-27,50.753757,66.754957,-0.003902,0.0,0.0,0.0,47,"LUNAUSD,XBTUSD,ETHZ21"
2021-12-28,51.355464,67.356664,0.601708,0.0,0.0,0.0,165,"XBTUSD,LUNAUSD,ETHUSD"
2021-12-29,51.159502,67.160702,-0.195962,0.0,0.0,0.0,460,"ETHUSD,XBTUSD"
2021-12-30,51.642543,67.643743,0.483041,0.0,0.0,0.0,139,"XBTUSD,ETHUSD"
2021-12-31,50.862155,66.863355,-0.780388,0.0,0.0,0.0,107,"XBTUSD,ETHH22"
2022-01-01,51.031723,67.032923,0.169568,0.0,0.0,0.0,46,"ETHH22,XBTUSD"
2022-01-02,50.983533,66.984733,-0.04819,0.0,0.0,0.0,60,"XBTUSD,ETHH22,LUNAUSD"
2022-01-03,50.964758,66.965958,-0.018775,0.0,0.0,0.0,242,"XBTUSD,ETHH22,LUNAUSD"
2022-01-04,51.57617,67.57737,0.611412,0.0,0.0,0.0,76,"XBTUSD,ETHH22,ETHUSD"
2022-01-05,51.809309,67.810509,0.233139,0.0,0.0,-0.1002,613,"XBTUSD,ETHUSD,ETHH22"
2022-01-06,53.175401,69.176601,1.366092,0.0,0.0,0.0,109,"XBTUSD,ETHH22,ETHUSD"
2022-01-07,54.525158,70.526358,1.349757,0.0,0.0,0.0,181,"XBTUSD,ETHUSD,ETHH22"
2022-01-08,54.15625,70.15745,-0.368908,0.0,0.0,0.0,387,"XBTUSD,ETHUSD"
2022-01-09,54.268669,70.269869,0.112419,0.0,0.0,0.0,86,"XBTUSD,ETHUSD"
2022-01-10,54.171805,70.173005,-0.096863,0.0,0.0,0.0,861,"XBTUSD,ETHUSD"
2022-01-11,54.061834,70.063034,-0.109972,0.0,0.0,0.0,196,XBTUSD
2022-01-12,54.158774,70.159974,0.09694,0.0,0.0,0.0,220,"ETHUSD,DOGEUSD,XBTUSD"
2022-01-13,54.799797,70.800997,0.641024,0.0,0.0,0.0,366,"XBTUSD,DOGEUSD,ETHH22"
2022-01-14,54.990434,70.991634,0.190637,0.0,0.0,0.0,400,"XBTUSD,ETHH22,DOGEUSD"
2022-01-15,53.553925,69.555125,-1.436509,0.0,0.0,0.0,188,"XBTUSD,BNBUSD,ETHH22"
2022-01-16,53.496951,69.498151,-0.056974,0.0,0.0,0.0,105,"XBTUSD,ETHH22,DOGEUSD"
2022-01-17,53.434887,69.436087,-0.062064,0.0,0.0,0.0,105,"XBTUSD,DOGEUSD,LUNAUSD"
2022-01-18,53.491855,69.493055,0.056968,0.0,0.0,0.0,237,"XBTUSD,ETHUSD"
2022-01-19,54.085467,70.086667,0.593612,0.0,0.0,0.0,337,XBTUSD
2022-01-20,54.861591,70.862791,0.776124,0.0,0.0,0.0,1021,"XBTUSD,LUNAUSD,ETHUSD"
2022-01-21,53.42356,69.42476,-1.438032,0.0,0.0,0.0,250,"XBTUSD,LUNAUSD"
2022-01-22,58.540158,74.541358,5.116599,0.0,0.0,0.0,323,"XBTUSD,LUNAUSD,DOGEUSD"
2022-01-23,64.256806,80.258006,5.716648,0.0,0.0,0.0,416,XBTUSD
2022-01-24,67.478994,83.480194,3.222188,0.0,0.0,0.0,298,XBTUSD
2022-01-25,67.803481,83.804681,0.324487,0.0,0.0,0.0,271,"XBTUSD,ETHUSD,DOGEUSD"
2022-01-26,65.864123,81.865323,-1.939358,0.0,0.0,0.0,132,"XBTUSD,ETHUSD,DOGEUSD"
2022-01-27,66.202122,82.203322,0.337999,0.0,0.0,0.0,437,"XBTUSD,ETHUSD,DOGEUSD"
2022-01-28,66.232733,82.233933,0.030611,0.0,0.0,0.0,301,"XBTUSD,ETHUSD,DOGEUSD"
2022-01-29,66.611361,82.612561,0.378628,0.0,0.0,0.0,175,XBTUSD
2022-01-30,62.615111,83.616511,1.00395,0.0,0.0,-5.0002,237,"XBTUSD,ETHUSD"
2022-01-31,32.600877,83.602477,-0.014034,0.0,0.0,-30.0002,442,"XBTUSD,ETHUSD"
2022-02-01,16.54178,82.54358,-1.058897,0.0,0.0,-15.0002,101,XBTUSD
2022-02-02,16.568192,82.569992,0.026412,0.0,0.0,0.0,148,XBTUSD
2022-02-03,16.578673,82.580473,0.010481,0.0,0.0,0.0,127,"XBTUSD,ETHUSD"
2022-02-04,16.629229,82.631029,0.050555,0.0,0.0,0.0,247,XBTUSD
2022-02-05,16.577593,82.579394,-0.051635,0.0,0.0,0.0,408,XBTUSD
2022-02-06,15.956157,81.957957,-0.621437,0.0,0.0,0.0,422,"XBTUSD,LTCUSD"
2022-02-07,14.497524,80.499324,-1.458633,0.0,0.0,0.0,56,"DOGEUSD,XBTUSD,XRPUSD"
2022-02-08,14.601978,80.603778,0.104455,0.0,0.0,0.0,64,"DOGEUSD,LTCUSD,XBTUSD"
2022-02-09,14.7879,80.7897,0.185921,0.0,0.0,0.0,72,"LTCUSD,XBTUSD,DOGEUSD"
2022-02-10,15.19556,81.19736,0.40766,0.0,0.0,0.0,69,"LTCUSD,DOGEUSD,XRPUSD"
2022-02-11,15.235409,81.237209,0.039849,0.0,0.0,0.0,385,"XBTUSD,LTCUSD,XRPUSD"
2022-02-12,15.116952,81.118752,-0.118457,0.0,0.0,0.0,114,"XBTUSD,XRPUSD,LTCUSD"
2022-02-13,15.161246,81.163046,0.044293,0.0,0.0,0.0,30,"DOGEUSD,XBTUSD"
2022-02-14,14.941786,80.943586,-0.21946,0.0,0.0,0.0,53,"XBTUSD,LTCUSD"
2022-02-15,15.082053,81.083853,0.140268,0.0,0.0,0.0,258,"LTCUSD,XBTUSD"
2022-02-16,15.196374,81.198174,0.114321,0.0,0.0,0.0,90,"LTCUSD,XBTUSD"
2022-02-17,15.208732,81.210532,0.012358,0.0,0.0,0.0,104,"XBTUSD,LTCUSD"
2022-02-18,15.060266,81.062066,-0.148466,0.0,0.0,0.0,287,"XBTUSD,LTCUSD"
2022-02-19,13.511623,79.513423,-1.548643,0.0,0.0,0.0,111,XBTUSD
2022-02-20,12.743276,78.745076,-0.768346,0.0,0.0,0.0,158,XBTUSD
2022-02-21,12.593349,78.595149,-0.149927,0.0,0.0,0.0,108,XBTUSD
2022-02-22,12.463398,78.465198,0.006869,0.0,0.0,0.0,175,XBTUSD
2022-02-23,12.505738,78.507538,0.04234,0.0,0.0,0.0,146,XBTUSD
2022-02-24,10.39698,76.39878,-2.108759,0.0,0.0,0.0,142,"XBTUSD,DOGEUSD"
